NAMESPACE            NAME                                               READY   STATUS                   RESTARTS        AGE
sage                 pod/arc-registry-refresh-29335933-djpn9            0/1     Error                    0               58m
sage                 pod/arc-registry-refresh-29335933-hsw26            0/1     Error                    0               75m
sage                 pod/arc-registry-refresh-29335933-m4rn4            0/1     ContainerCreating        0               44m
sage                 pod/arc-registry-refresh-29335934-qv6x8            0/1     Error                    0               75m
sage                 pod/arc-registry-refresh-29335934-xltvx            0/1     Error                    0               58m
sage                 pod/arc-registry-refresh-29335934-z7rcv            0/1     ContainerCreating        0               44m
sage                 pod/arc-registry-refresh-29335935-7l7fr            0/1     Error                    0               75m
sage                 pod/arc-registry-refresh-29335935-v2p9f            0/1     Pending                  0               58m
sage                 pod/arc-registry-refresh-29335936-527tc            0/1     Error                    0               75m
sage                 pod/arc-registry-refresh-29335936-nmxwz            0/1     ContainerCreating        0               44m
sage                 pod/arc-registry-refresh-29335936-rd8d8            0/1     StartError               0               58m
sage                 pod/arc-registry-refresh-29335937-cw67z            0/1     Pending                  0               58m
sage                 pod/arc-registry-refresh-29335937-md92r            0/1     Error                    0               75m
sage                 pod/arc-registry-refresh-29335938-67n67            0/1     Error                    0               58m
sage                 pod/arc-registry-refresh-29335938-8b5p5            0/1     ContainerCreating        0               44m
sage                 pod/arc-registry-refresh-29335938-d8bqx            0/1     Error                    0               75m
tailscale            pod/tailscale-5k5jd                                1/1     Running                  50 (48m ago)    7d9h

NAMESPACE         NAME                                             TYPE           CLUSTER-IP       EXTERNAL-IP     PORT(S)                        AGE
arc-epsilon       service/epsilon-ui                               ClusterIP      10.103.94.98     <none>          80/TCP                         5d4h
arc-iota          service/iota-api                                 ClusterIP      10.100.9.163     <none>          80/TCP                         23h
arc-kappa         service/kappa-api                                ClusterIP      10.107.140.95    <none>          80/TCP                         16h
arc-kappa         service/kappa-postgres                           ClusterIP      None             <none>          5432/TCP                       16h
arc-theta         service/theta-api                                ClusterIP      10.100.7.204     <none>          80/TCP                         26h
arc-zeta          service/observer-api                             ClusterIP      10.111.86.234    <none>          80/TCP                         5d5h
default           service/kubelet                                  ClusterIP      None             <none>          10250/TCP,10255/TCP,4194/TCP   4d8h
default           service/kubernetes                               ClusterIP      10.96.0.1        <none>          443/TCP                        8d
flux-system       service/notification-controller                  ClusterIP      10.108.165.37    <none>          80/TCP                         6d10h
flux-system       service/source-controller                        ClusterIP      10.98.62.37      <none>          80/TCP                         6d10h
flux-system       service/webhook-receiver                         ClusterIP      10.100.28.33     <none>          80/TCP                         6d10h
infra             service/nats                                     ClusterIP      10.104.55.153    <none>          4222/TCP,8222/TCP              5d2h
ingress-nginx     service/ingress-nginx-controller                 LoadBalancer   10.103.200.216   192.168.1.200   80:30843/TCP,443:32611/TCP     8d
kube-system       service/cilium-envoy                             ClusterIP      None             <none>          9964/TCP                       40m
kube-system       service/kube-dns                                 ClusterIP      10.96.0.10       <none>          53/UDP,53/TCP,9153/TCP         8d
kube-system       service/kube-prom-kube-prometheus-coredns        ClusterIP      None             <none>          9153/TCP                       4d7h
kube-system       service/kube-prom-kube-prometheus-kubelet        ClusterIP      None             <none>          10250/TCP,10255/TCP,4194/TCP   4d6h
longhorn-system   service/longhorn-admission-webhook               ClusterIP      10.102.7.155     <none>          9502/TCP                       5h8m
longhorn-system   service/longhorn-backend                         ClusterIP      10.111.170.167   <none>          9500/TCP                       5h8m
longhorn-system   service/longhorn-frontend                        ClusterIP      10.104.33.92     <none>          80/TCP                         5h8m
longhorn-system   service/longhorn-recovery-backend                ClusterIP      10.98.193.24     <none>          9503/TCP                       5h8m
metallb-system    service/metallb-webhook-service                  ClusterIP      10.104.209.29    <none>          443/TCP                        8d
observability     service/alertmanager-operated                    ClusterIP      None             <none>          9093/TCP,9094/TCP,9094/UDP     4d6h
observability     service/grafana                                  ClusterIP      10.101.85.229    <none>          80/TCP                         4d8h
observability     service/kube-prom-kube-prometheus-alertmanager   ClusterIP      10.110.177.95    <none>          9093/TCP,8080/TCP              4d7h
observability     service/kube-prom-kube-prometheus-operator       ClusterIP      10.100.176.215   <none>          8080/TCP                       4d7h
observability     service/kube-prom-kube-prometheus-prometheus     ClusterIP      10.99.245.241    <none>          9090/TCP,8080/TCP              4d7h
observability     service/kube-prom-kube-state-metrics             ClusterIP      10.106.209.133   <none>          8080/TCP                       4d7h
observability     service/loki                                     ClusterIP      10.100.164.48    <none>          3100/TCP,9095/TCP              4d6h
observability     service/loki-gateway                             ClusterIP      10.106.74.102    <none>          80/TCP                         4d6h
observability     service/loki-headless                            ClusterIP      None             <none>          3100/TCP                       4d6h
observability     service/loki-memberlist                          ClusterIP      None             <none>          7946/TCP                       4d6h
observability     service/node-exporter                            ClusterIP      10.100.144.255   <none>          9100/TCP                       2d17h
observability     service/node-exporter-prometheus-node-exporter   ClusterIP      10.111.134.213   <none>          9100/TCP                       2d17h
observability     service/prometheus-operated                      ClusterIP      None             <none>          9090/TCP                       4d6h
sage              service/sage                                     NodePort       10.103.249.241   <none>          80:30080/TCP                   8d

NAMESPACE         NAME                                                    DESIRED   CURRENT   READY   UP-TO-DATE   AVAILABLE   NODE SELECTOR            AGE
kube-flannel      daemonset.apps/kube-flannel-ds                          1         1         0       1            0           <none>                   33h
kube-system       daemonset.apps/cilium                                   1         1         1       1            1           <none>                   40m
kube-system       daemonset.apps/cilium-envoy                             1         1         1       1            1           kubernetes.io/os=linux   40m
kube-system       daemonset.apps/kube-flannel                             1         1         0       1            0           <none>                   8d
kube-system       daemonset.apps/kube-proxy                               1         1         1       1            1           <none>                   8d
logs              daemonset.apps/promtail                                 0         0         0       0            0           <none>                   3d2h
