NAME                                   READY   STATUS                       RESTARTS   AGE     IP             NODE     NOMINATED NODE   READINESS GATES
pod/theta-dns-health-29363280-s6tw4    0/1     Pending                      0          4h18m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363285-qvgvl    0/1     Pending                      0          4h17m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363290-g7d72    0/1     Pending                      0          4h20m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363295-j5ms7    0/1     Pending                      0          4h20m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363300-v6xkn    0/1     Pending                      0          4h20m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363305-rmrvl    0/1     Pending                      0          4h18m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363310-8cxwk    0/1     Pending                      0          4h20m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363315-bprfk    0/1     Pending                      0          4h18m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363320-w4jk5    0/1     Pending                      0          4h19m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363325-dr4h4    0/1     Pending                      0          4m53s   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363330-tfl5c    0/1     Pending                      0          4h17m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363335-5lh74    0/1     CreateContainerConfigError   0          4h21m   10.244.0.44    sage     <none>           <none>
pod/theta-dns-health-29363340-mlmwp    0/1     Pending                      0          4h20m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363345-rbbpx    0/1     Pending                      0          4h17m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363350-rspfs    0/1     Pending                      0          4h19m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363355-8h4k4    0/1     Pending                      0          4h18m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363360-prbf5    0/1     Pending                      0          4h19m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363365-v79rp    0/1     Pending                      0          4h20m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363370-q9gsv    0/1     Pending                      0          4h18m   <none>         <none>   <none>           <none>
pod/theta-dns-health-29363375-sgfsl    0/1     Pending                      0          4m43s   <none>         <none>   <none>           <none>
